id, object, score, x,  y,  w,  h
1, car, 1.00,  225,  186, 197, 97
2, person, 0.99,  176,  187, 28, 73
3, person, 0.99,  576,  169, 32, 88
4, car, 0.97,  0,  183, 135, 79
5, person, 0.95,  343,  177, 22, 25
6, bicycle, 0.94,  485,  211, 83, 61
7, person, 0.93,  198,  184, 17, 41
8, bicycle, 0.91,  437,  215, 44, 55
9, person, 0.85,  518,  178, 33, 45
10, person, 0.83,  95,  181, 16, 29
11, bicycle, 0.80,  608,  209, 31, 72
12, person, 0.66,  474,  176, 27, 79
13, person, 0.64,  117,  176, 16, 29
14, person, 0.63,  305,  182, 18, 10
15, person, 0.63,  135,  178, 19, 41
16, person, 0.61,  332,  183, 14, 10
17, person, 0.60,  279,  185, 12, 9
18, person, 0.55,  399,  181, 19, 46
19, person, 0.53,  390,  182, 22, 44
20, handbag, 0.52,  578,  175, 19, 33
21, backpack, 0.46,  578,  182, 20, 26
22, bicycle, 0.40,  526,  213, 47, 55
23, person, 0.37,  168,  186, 13, 37
24, person, 0.34,  52,  172, 12, 9
25, person, 0.34,  121,  187, 17, 35
26, handbag, 0.34,  184,  231, 15, 14
27, person, 0.28,  466,  179, 13, 36
28, bicycle, 0.25,  422,  197, 22, 27
