id, object, score, x,  y,  w,  h
1, umbrella, 0.99,  621,  535, 88, 40
2, person, 0.96,  150,  535, 77, 103
3, person, 0.93,  52,  541, 54, 92
4, umbrella, 0.91,  715,  532, 85, 50
5, person, 0.90,  242,  527, 72, 112
6, person, 0.88,  724,  562, 63, 77
7, person, 0.86,  945,  553, 56, 86
8, person, 0.83,  518,  530, 36, 109
9, person, 0.79,  448,  534, 41, 105
10, person, 0.76,  597,  546, 46, 93
11, umbrella, 0.74,  904,  545, 40, 11
12, person, 0.70,  1043,  552, 24, 67
13, person, 0.69,  917,  557, 26, 56
14, person, 0.67,  14,  547, 27, 43
15, person, 0.65,  145,  539, 27, 49
16, person, 0.63,  191,  533, 923, 90
17, person, 0.57,  826,  552, 38, 84
18, person, 0.57,  388,  535, 46, 102
19, person, 0.55,  556,  537, 47, 102
20, person, 0.53,  51,  553, 17, 32
21, person, 0.52,  480,  538, 28, 95
22, person, 0.49,  1064,  560, 29, 71
23, person, 0.48,  981,  560, 35, 69
24, person, 0.45,  125,  545, 23, 49
25, person, 0.44,  1028,  555, 19, 64
26, person, 0.42,  213,  545, 37, 80
27, person, 0.42,  0,  552, 13, 38
28, person, 0.41,  647,  560, 60, 79
29, person, 0.40,  488,  535, 42, 102
30, backpack, 0.33,  210,  582, 39, 56
31, person, 0.31,  749,  580, 41, 57
32, person, 0.29,  936,  556, 21, 57
33, person, 0.27,  897,  553, 24, 62
34, person, 0.26,  2,  546, 21, 48
