id, object, score, x,  y,  w,  h
1, bus, 0.99,  131,  181, 249, 86
2, person, 0.99,  684,  254, 24, 43
3, car, 0.99,  479,  212, 55, 28
4, person, 0.99,  396,  273, 23, 53
5, person, 0.98,  527,  247, 20, 41
6, person, 0.97,  356,  294, 23, 66
7, car, 0.97,  628,  194, 47, 23
8, person, 0.97,  597,  270, 21, 42
9, car, 0.95,  560,  175, 40, 19
10, person, 0.95,  162,  405, 40, 33
11, person, 0.93,  643,  240, 19, 37
12, car, 0.92,  740,  180, 38, 20
13, car, 0.92,  602,  171, 34, 15
14, car, 0.91,  120,  245, 134, 64
15, person, 0.91,  307,  313, 19, 63
16, person, 0.90,  519,  303, 25, 49
17, person, 0.90,  434,  296, 23, 54
18, person, 0.82,  765,  239, 15, 33
19, person, 0.79,  719,  209, 19, 27
20, person, 0.77,  129,  393, 28, 45
21, person, 0.76,  550,  247, 17, 43
22, person, 0.64,  468,  271, 18, 42
23, person, 0.59,  633,  235, 14, 32
24, bus, 0.55,  436,  190, 79, 42
25, car, 0.53,  533,  219, 66, 40
26, person, 0.52,  739,  208, 18, 31
27, person, 0.50,  467,  319, 22, 49
28, person, 0.45,  609,  287, 23, 28
29, person, 0.43,  268,  179, 497, 149
30, bicycle, 0.42,  642,  249, 21, 28
31, bicycle, 0.41,  467,  281, 19, 36
32, person, 0.41,  769,  210, 9, 25
33, person, 0.40,  449,  275, 29, 74
34, truck, 0.36,  64,  190, 85, 49
35, person, 0.34,  773,  261, 8, 80
36, person, 0.33,  451,  273, 21, 39
37, bicycle, 0.32,  549,  253, 18, 39
38, person, 0.31,  537,  249, 22, 37
39, person, 0.30,  289,  177, 8, 12
40, person, 0.30,  746,  208, 18, 32
41, person, 0.28,  769,  246, 10, 21
42, person, 0.28,  333,  174, 8, 11
43, bicycle, 0.28,  527,  257, 20, 31
44, truck, 0.27,  435,  189, 57, 44
45, person, 0.27,  754,  212, 12, 22
46, person, 0.26,  181,  182, 9, 13
47, car, 0.24,  432,  197, 56, 35
