id, object, score, x,  y,  w,  h
1, car, 1.00,  505,  108, 40, 27
2, car, 0.99,  196,  277, 88, 77
3, car, 0.99,  450,  106, 39, 31
4, car, 0.98,  219,  209, 67, 55
5, car, 0.98,  413,  150, 57, 52
6, car, 0.97,  333,  151, 47, 51
7, car, 0.97,  340,  205, 77, 74
8, car, 0.96,  335,  330, 106, 29
9, car, 0.96,  480,  92, 33, 26
10, car, 0.94,  556,  101, 42, 35
11, person, 0.94,  244,  160, 21, 33
12, car, 0.93,  424,  79, 44, 30
13, car, 0.91,  560,  188, 73, 61
14, person, 0.91,  17,  228, 31, 65
15, car, 0.91,  406,  66, 29, 27
16, car, 0.89,  459,  82, 32, 21
17, person, 0.85,  588,  81, 15, 25
18, person, 0.84,  42,  228, 23, 64
19, person, 0.77,  542,  66, 7, 15
20, person, 0.75,  204,  123, 16, 39
21, person, 0.74,  194,  106, 11, 27
22, person, 0.74,  170,  128, 17, 40
23, person, 0.70,  60,  150, 19, 40
24, person, 0.66,  134,  150, 18, 39
25, person, 0.64,  577,  72, 8, 17
26, car, 0.64,  623,  186, 16, 116
27, person, 0.63,  159,  122, 16, 39
28, person, 0.62,  559,  64, 7, 18
29, truck, 0.60,  584,  148, 53, 40
30, person, 0.58,  592,  64, 8, 17
31, person, 0.58,  616,  85, 9, 17
32, person, 0.56,  144,  127, 18, 40
33, person, 0.56,  566,  72, 8, 18
34, handbag, 0.53,  53,  251, 13, 12
35, person, 0.51,  69,  130, 12, 37
36, person, 0.51,  5,  188, 19, 34
37, truck, 0.49,  522,  137, 73, 77
38, person, 0.49,  100,  125, 13, 47
39, truck, 0.47,  558,  187, 75, 75
40, car, 0.47,  307,  41, 17, 10
41, person, 0.46,  143,  100, 13, 29
42, car, 0.45,  328,  41, 16, 11
43, person, 0.45,  50,  134, 17, 31
44, person, 0.44,  33,  133, 16, 31
45, person, 0.44,  515,  46, 8, 12
46, bicycle, 0.43,  98,  258, 18, 28
47, person, 0.43,  9,  145, 22, 37
48, person, 0.43,  616,  72, 9, 14
49, person, 0.42,  539,  53, 7, 14
50, bus, 0.42,  365,  38, 27, 27
51, bus, 0.41,  419,  42, 24, 23
52, person, 0.38,  57,  132, 16, 35
53, car, 0.37,  443,  70, 29, 18
54, person, 0.31,  0,  142, 10, 41
55, truck, 0.30,  393,  39, 39, 42
56, person, 0.27,  1,  206, 11, 52
57, person, 0.27,  3,  211, 23, 61
58, person, 0.26,  580,  66, 7, 13
59, person, 0.24,  567,  66, 7, 13
